Tm,Win_Pct,Pts_For,Pts_Against,PD,SOS,Year
Oakland Raiders,.188,253,452,-199,,2014
NFC East,NFC East,NFC East,NFC East,NFC East,,2014
Dallas Cowboys*,.750,467,352,115,,2014
Philadelphia Eagles,.625,474,400,74,,2014
New York Giants,.375,380,400,-20,,2014
Washington Redskins,.250,301,438,-137,,2014
NFC North,NFC North,NFC North,NFC North,NFC North,,2014
Green Bay Packers*,.750,486,348,138,,2014
Detroit Lions+,.688,321,282,39,,2014
Minnesota Vikings,.438,325,343,-18,,2014
Chicago Bears,.313,319,442,-123,,2014
NFC South,NFC South,NFC South,NFC South,NFC South,,2014
Carolina Panthers*,.469,339,374,-35,,2014
New Orleans Saints,.438,401,424,-23,,2014
Atlanta Falcons,.375,381,417,-36,,2014
Tampa Bay Buccaneers,.125,277,410,-133,,2014
NFC West,NFC West,NFC West,NFC West,NFC West,,2014
Seattle Seahawks*,.750,394,254,140,,2014
Arizona Cardinals+,.688,310,299,11,,2014
San Francisco 49ers,.500,306,340,-34,,2014
St. Louis Rams,.375,324,354,-30,,2014
AFC East,AFC East,AFC East,AFC East,AFC East,,2015
New England Patriots*,.750,465,315,150,,2015
New York Jets,.625,387,314,73,,2015
Buffalo Bills,.500,379,359,20,,2015
Miami Dolphins,.375,310,389,-79,,2015
AFC North,AFC North,AFC North,AFC North,AFC North,,2015
Cincinnati Bengals*,.750,419,279,140,,2015
Pittsburgh Steelers+,.625,423,319,104,,2015
Baltimore Ravens,.313,328,401,-73,,2015
Cleveland Browns,.188,278,432,-154,,2015
AFC South,AFC South,AFC South,AFC South,AFC South,,2015
Houston Texans*,.563,339,313,26,,2015
Indianapolis Colts,.500,333,408,-75,,2015
Jacksonville Jaguars,.313,376,448,-72,,2015
Tennessee Titans,.188,299,423,-124,,2015
AFC West,AFC West,AFC West,AFC West,AFC West,,2015
Denver Broncos*,.750,355,296,59,,2015
Kansas City Chiefs+,.688,405,287,118,,2015
Oakland Raiders,.438,359,399,-40,,2015
San Diego Chargers,.250,320,398,-78,,2015
NFC East,NFC East,NFC East,NFC East,NFC East,,2015
Washington Redskins*,.563,388,379,9,,2015
Philadelphia Eagles,.438,377,430,-53,,2015
New York Giants,.375,420,442,-22,,2015
Dallas Cowboys,.250,275,374,-99,,2015
NFC North,NFC North,NFC North,NFC North,NFC North,,2015
Minnesota Vikings*,.688,365,302,63,,2015
